chrBase 	chr 	base 	strand 	coverage 	freqC 	freqT
chr1.10525 	chr1 	10525 	F 	92 	96.74 	3.26
chr1.10542 	chr1 	10542 	F 	92 	96.74 	3.26
chr1.10497 	chr1 	10497 	F 	90 	90 	10
chr1.10811 	chr1 	10811 	F 	10 	100 	0
chr1.10827 	chr1 	10827 	F 	10 	100 	0
chr1.10795 	chr1 	10795 	F 	10 	100 	0
chr1.10813 	chr1 	10813 	F 	10 	100 	0
chr1.10832 	chr1 	10832 	F 	10 	100 	0
chr1.10816 	chr1 	10816 	F 	10 	90 	10
chr1.10786 	chr1 	10786 	F 	10 	100 	0
chr1.10789 	chr1 	10789 	F 	10 	100 	0
chr1.15913 	chr1 	15913 	R 	31 	100 	0
chr1.15866 	chr1 	15866 	R 	31 	93.55 	6.45
chr1.15883 	chr1 	15883 	R 	31 	96.77 	3.23
chr1.135028 	chr1 	135028 	F 	70 	95.71 	4.29
chr1.134999 	chr1 	134999 	F 	70 	94.29 	5.71
chr1.135031 	chr1 	135031 	F 	70 	95.71 	4.29
chr1.544752 	chr1 	544752 	F 	123 	20.33 	79.67
chr1.544743 	chr1 	544743 	F 	123 	21.95 	78.05
chr1.544750 	chr1 	544750 	F 	123 	26.83 	73.17
chr1.544739 	chr1 	544739 	F 	119 	22.69 	77.31
chr1.544718 	chr1 	544718 	F 	123 	52.03 	47.97
chr1.567207 	chr1 	567207 	R 	46 	71.74 	28.26
chr1.567240 	chr1 	567240 	R 	45 	84.44 	15.56
chr1.662706 	chr1 	662706 	F 	12 	8.33 	91.67
chr1.662694 	chr1 	662694 	F 	12 	100 	0
chr1.662657 	chr1 	662657 	F 	12 	50 	50
chr1.662678 	chr1 	662678 	F 	12 	91.67 	8.33
chr1.662692 	chr1 	662692 	F 	12 	91.67 	8.33
chr1.713450 	chr1 	713450 	R 	21 	100 	0
chr1.713454 	chr1 	713454 	R 	21 	52.38 	47.62
chr1.713448 	chr1 	713448 	R 	21 	95.24 	4.76
chr1.714481 	chr1 	714481 	R 	36 	0 	100
chr1.714491 	chr1 	714491 	R 	35 	0 	100
chr1.714511 	chr1 	714511 	R 	36 	19.44 	80.56
chr1.714477 	chr1 	714477 	R 	36 	0 	100
chr1.715390 	chr1 	715390 	R 	76 	96.05 	3.95
chr1.715405 	chr1 	715405 	R 	75 	97.33 	2.67
chr1.715415 	chr1 	715415 	R 	75 	92 	8
chr1.715392 	chr1 	715392 	R 	76 	98.68 	1.32
chr1.758830 	chr1 	758830 	R 	17 	100 	0
chr1.762851 	chr1 	762851 	R 	39 	0 	100
chr1.762917 	chr1 	762917 	F 	30 	0 	100
chr1.762883 	chr1 	762883 	R 	38 	31.58 	68.42
chr1.762919 	chr1 	762919 	F 	30 	0 	100
chr1.762912 	chr1 	762912 	F 	30 	0 	100
chr1.762825 	chr1 	762825 	F 	49 	0 	100
chr1.762937 	chr1 	762937 	F 	30 	0 	100
chr1.762870 	chr1 	762870 	R 	39 	0 	100
chr1.762915 	chr1 	762915 	F 	30 	0 	100
