chrBase 	chr 	base 	strand 	coverage 	freqC 	freqT
chr1.10571 	chr1 	10571 	F 	20 	100 	0
chr1.10542 	chr1 	10542 	F 	22 	95.45 	4.55
chr1.10577 	chr1 	10577 	F 	20 	75 	25
chr1.10563 	chr1 	10563 	F 	22 	95.45 	4.55
chr1.10525 	chr1 	10525 	F 	22 	95.45 	4.55
chr1.10497 	chr1 	10497 	F 	23 	95.65 	4.35
chr1.10579 	chr1 	10579 	F 	20 	35 	65
chr1.10589 	chr1 	10589 	F 	18 	100 	0
chr1.51649 	chr1 	51649 	R 	15 	86.67 	13.33
chr1.51638 	chr1 	51638 	R 	15 	93.33 	6.67
chr1.51683 	chr1 	51683 	R 	15 	66.67 	33.33
chr1.51663 	chr1 	51663 	R 	15 	100 	0
chr1.51633 	chr1 	51633 	R 	15 	93.33 	6.67
chr1.51694 	chr1 	51694 	R 	15 	100 	0
chr1.51642 	chr1 	51642 	R 	13 	100 	0
chr1.51723 	chr1 	51723 	R 	15 	100 	0
chr1.135028 	chr1 	135028 	F 	60 	98.33 	1.67
chr1.135095 	chr1 	135095 	F 	51 	100 	0
chr1.135031 	chr1 	135031 	F 	60 	95 	5
chr1.134999 	chr1 	134999 	F 	63 	100 	0
chr1.135086 	chr1 	135086 	F 	60 	98.33 	1.67
chr1.136425 	chr1 	136425 	F 	22 	100 	0
chr1.136485 	chr1 	136485 	F 	19 	100 	0
chr1.136388 	chr1 	136388 	F 	22 	100 	0
chr1.136473 	chr1 	136473 	F 	22 	90.91 	9.09
chr1.136409 	chr1 	136409 	F 	22 	100 	0
chr1.136423 	chr1 	136423 	F 	22 	95.45 	4.55
chr1.567240 	chr1 	567240 	R 	17 	94.12 	5.88
chr1.567207 	chr1 	567207 	R 	17 	76.47 	23.53
chr1.567168 	chr1 	567168 	R 	17 	58.82 	41.18
chr1.666123 	chr1 	666123 	F 	21 	100 	0
chr1.666132 	chr1 	666132 	F 	21 	100 	0
chr1.690135 	chr1 	690135 	R 	13 	100 	0
chr1.715041 	chr1 	715041 	F 	34 	79.41 	20.59
chr1.715079 	chr1 	715079 	F 	34 	79.41 	20.59
chr1.715110 	chr1 	715110 	F 	33 	78.79 	21.21
chr1.715083 	chr1 	715083 	F 	34 	94.12 	5.88
chr1.715121 	chr1 	715121 	F 	34 	85.29 	14.71
chr1.763165 	chr1 	763165 	R 	47 	2.13 	97.87
chr1.763120 	chr1 	763120 	R 	48 	2.08 	97.92
